"INDEX","DATE","TYPE","LOCATION","MAX KILLED","MIN KILLED","MAX CHILDREN KILLED","MIN CHILDREN KILLED","MAX CIVILIANS KILLED","MIN CIVILIANS KILLED","MAX INJURIES","MIN INJURIES"
"AFG045","11 June 2015","US strike","Maroufkhil, Khushamand, Paktika, Afghanistan","30","30","0","0","0","0","0","0"
"AFG047","14 June 2015","US strike","Dangam, Kunar, Afghanistan","15","7","5","0","5","0","0","0"
"AFG051","19 June 2015","US strike","Kamar Kandaw, Haska Meena, Nangarhar, Afghanistan","7","4","0","0","0","0","0","0"
"AFG050","19 June 2015","US strike","Mohmand Dara, Nangarhar, Afghanistan","8","8","0","0","0","0","0","0"
"AFG052","20 June 2015","US strike","Kanish, Nuristan, Afghanistan","9","4","0","0","0","0","0","0"
"AFG053","21 June 2015","US strike","Barikaab Dab, Bati Kot, Nangarhar, Afghanistan","7","6","0","0","0","0","0","0"
"YEM196","25 June 2015","US drone strike","Mukalla, Hadramout, Yemen","5","4","0","0","0","0","2","2"
"YEM198","26 June 2015","Airstrike
Possible US drone strike","Mukalla, Hadramout, Yemen","4","4","0","0","0","0","0","0"
"YEM197","26 June 2015","Airstrike
Possible US drone strike","Rafadh, Shabwa, Yemen","4","4","0","0","0","0","0","0"
"AFG055","27 June 2015","US strike","Paktika, Afghanistan","1","1","0","0","0","0","0","0"
"AFG056","27 June 2015","US strike","Mardish, Want Waigal, Nuristan, Afghanistan","5","5","0","0","0","0","3","3"
"AFG057","30 June 2015","US strike","Machi Megi, Lal Pura, Nangarhar, Afghanistan","14","4","0","0","0","0","12","12"
"YEM199","03 July 2015","US drone strike","Mukalla, Hadramout, Yemen","4","4","0","0","0","0","0","0"
"AFG059","04 July 2015","US strike","Chappa Dara, Kunar, Afghanistan","1","1","0","0","0","0","0","0"
"AFG058","04 July 2015","US strike","Ghanikhel, Nangarhar, Afghanistan","12","12","0","0","0","0","0","0"
"AFG061","05 July 2015","US strike","Chaparhar, Nangarhar, Afghanistan","3","3","0","0","0","0","0","0"
"AFG062","06 July 2015","US strike","Achin, Nangarhar, Afghanistan","12","12","0","0","0","0","0","0"
"AFG063","06 July 2015","US strike","Achin, Nangarhar, Afghanistan","37","13","0","0","0","0","0","0"
"AFG064","07 July 2015","US strike","Achin, Nangarhar, Afghanistan","49","11","0","0","0","0","4","0"
"AFG065","07 July 2015","US strike","Achin, Nangarhar, Afghanistan","18","18","0","0","0","0","0","0"
"AFG066","07 July 2015","US strike","Haska Meena, Nangarhar, Afghanistan","25","25","0","0","0","0","0","0"
"AFG067","07 July 2015","US strike","Bati Kot, Nangarhar, Afghanistan","4","4","0","0","0","0","2","2"
"AFG068","08 July 2015","US strike","Tangi, Dih Bala, Nangarhar, Afghanistan","52","25","0","0","0","0","0","0"
"AFG069","10 July 2015","US strike","Achin, Nangarhar, Afghanistan","31","30","0","0","0","0","0","0"
"AFG070","11 July 2015","US strike","Bermal, Paktika, Afghanistan","3","3","0","0","0","0","0","0"
"YEM200","11 July 2015","US drone strike","Mukalla, Hadramout, Yemen","10","3","0","0","0","0","0","0"
"AFG071","12 July 2015","US strike","Maidnak and Chehal Gazi, Achin, Nangarhar, Afghanistan","12","12","0","0","0","0","0","0"
"AFG072","14 July 2015","US strike","Haska Mina, Nangarhar, Afghanistan","28","28","0","0","0","0","0","0"
"SOM025","15 July 2015","Air operation - drone strike","Baardheere, Gedo Region, Somalia","3","2","0","0","0","0","0","0"
"SOM026","15 July 2015","Air operation - drone strike","Baardheere, Gedo Region, Somalia","0","0","0","0","0","0","0","0"
"AFG073","16 July 2015","US strike","Tor Khail, Wardak, Afghanistan","16","8","0","0","0","0","0","0"
"AFG074","16 July 2015","US strike","Haska Mina, Nangarhar, Afghanistan","6","6","0","0","0","0","0","0"
"AFG076","26 July 2015","US strike","Chaknawr, Lal Pura, Nangarhar, Afghanistan","6","5","0","0","0","0","0","0"
"AFG077","29 July 2015","US strike","Harun Baba, Haska Mina and Pachiragam, Nangarhar, Afghanistan","20","12","0","0","0","0","0","0"
"YEM201","29 July 2015","US drone strike","Wadi Dikha, Abyan, Yemen","5","4","0","0","0","0","0","0"
"AFG078","02 August 2015","US strike","Cholzi, Baraki Barak, Logar, Afghanistan","4","4","0","0","0","0","0","0"
"AFG079","04 August 2015","US strike","Sherzad, Haska Mina and Deh Bala, Nangarhar and Paktika, Afghanistan","66","56","0","0","0","0","0","0"
"Ob369","06 August 2015","US drone strike","Alwara Mandi area, Datta Khel, Pakistan","7","4","0","0","0","0","3","2"
"AFG080","08 August 2015","US strike","Gorgori, Haska Mina, Nangarhar, Afghanistan","10","10","0","0","0","0","0","0"
"AFG081","09 August 2015","US strike","Nazyan, Nangarhar, Afghanistan","6","2","0","0","0","0","0","0"
"AFG082","10 August 2015","US strike","Shonkorok Valley, Shegal, Kunar, Afghanistan","3","3","0","0","0","0","0","0"
"YEM202","12 August 2015","US drone strike","Mukalla-Rukob road, Hadramout, Yemen","5","5","0","0","0","0","0","0"
"AFG084","17 August 2015","US strike","Chak, Wardak, Afghanistan","3","2","0","0","0","0","0","0"
"AFG083","17 August 2015","US strike","Day Mirdad, Wardak, Afghanistan","5","4","0","0","0","0","0","0"
"YEM203","21 August 2015","Airstrike, Possible US drone strike","Harib, Marib, Yemen","3","3","0","0","0","0","0","0"
"YEM204","23 August 2015","US drone strike","Mukalla, Hadaramout, Yemen","4","4","0","0","0","0","0","0"
"AFG086","26 August 2015","US strike","Kotikhil, Shirzad, Nangarhar, Afghanistan","4","4","0","0","0","0","0","0"
"YEM205","26 August 2015","US drone strike","Mukalla, Hadramout, Yemen","5","5","0","0","0","0","0","0"
"Ob370","01 September 2015","US drone strike","Karwanda village, Manzarkhel area, Dattakhel sub-division or Lawara Banga area of Shawal valley, Pakistan","6","5","0","0","0","0","4","4"
"AFG091","06 September 2015","US strike","Garamser, Helmand, Afghanistan","31","11","0","0","0","0","4","4"
"AFG093","08 September 2015","US strike","Ghazi Abad, Kunar, Afghanistan","2","2","0","0","0","0","0","0"
"YEM206","09 September 2015","US drone strike","Mukalla, Hadramout, Yemen","6","3","0","0","4","0","2","2"
"AFG094","10 September 2015","US strike","Gomal, Paktika, Afghanistan","15","5","0","0","0","0","0","0"
"YEM207","11 September 2015","Airstrike, Possible US drone strike","Jawf-Mareb border, Yemen","4","4","0","0","0","0","0","0"
"YEM208","12 September 2015","US drone strike","Mukalla, Hadramout, Yemen","5","4","0","0","0","0","0","0"
"AFG095","13 September 2015","US strike","Marsangi, Lal Pura, Nangarhar, Afghanistan","5","4","0","0","0","0","2","2"
"AFG096","17 September 2015","US strike","Melawe, Nazyan, Nangarhar, Afghanistan","5","5","0","0","0","0","0","0"
"YEM209","21 September 2015","Airstrike, Possible US drone strike","Marib city, Marib, Yemen","2","2","0","0","0","0","0","0"
"AFG110","23 October 2015","US strike","Nazyan, Nangarhar, Afghanistan","6","6","0","0","0","0","3","3"
"AFG115","29 October 2015","US strike","Nazyan, Nangarhar, Afghanistan","4","3","0","0","0","0","0","0"
"AFG116","29 October 2015","US strike","Ghazi Abad, Kunar, Afghanistan","3","3","0","0","0","0","0","0"
"AFG117","29 October 2015","US strike","Lal Pura, Kunar, Afghanistan","4","4","0","0","0","0","2","2"
"AFG118","31 October 2015","US strike","Choni Sar area, Shultan valley, Shigal, Kunar, Afghanistan","2","2","0","0","0","0","0","0"
"AFG120","08 November 2015","US strike","Gulai, Ghanikhil, Nangarhar, Afghanistan","3","3","0","0","0","0","1","1"
"AFG121","14 November 2015","US strike","Landi Kambo, Khogyani, Nangarhar, Afghanistan","13","12","0","0","0","0","0","0"
