"INDEX","DATE","TYPE","LOCATION","MAX KILLED","MIN KILLED","MAX CHILDREN KILLED","MIN CHILDREN KILLED","MAX CIVILIANS KILLED","MIN CIVILIANS KILLED","MAX INJURIES","MIN INJURIES"
"AFG207","11 June 2016","US strike","Sargardan, Hesarak, Nangarhar, Afghanistan","6","6","0","0","0","0","0","0"
"YEM233","12 June 2016","US drone strike","Haban, Shabwa, Yemen","3","2","0","0","0","0","1","1"
"AFG210","14 June 2016","US strike","Karkanai, Achin, Nangarhar, Afghanistan","10","10","0","0","0","0","0","0"
"AFG211","15 June 2016","US strike","Karkanai, Achin, Nangarhar, Afghanistan","21","21","0","0","0","0","0","0"
"AFG213","18 June 2016","US strike","Dara e Mohmand, Mazdaki, Abdulkhail, Achin, Nangarhar, Afghanistan","27","23","0","0","0","0","0","0"
"AFG212","18 June 2016","US strike","Taraki, Dasht e Archi, Nangarhar, Afghanistan","8","8","0","0","0","0","0","0"
"AFG214","21 June 2016","US strike","Moghul Qeshlag, Imam Sahib, Kunduz, Afghanistan","5","5","0","0","0","0","0","0"
"SOM040","21 June 2016","Air operation - drone or airstrike","Southern Somalia, Somalia","3","3","0","0","0","0","0","0"
"AFG215","22 June 2016","US strike","Pir Shah Khelo, Kot, Nangarhar, Afghanistan","4","4","0","0","0","0","0","0"
"AFG216","23 June 2016","US strike","Rahmati and Marsing, Lal Pura, Nangarhar, Afghanistan","7","7","0","0","0","0","3","3"
"AFG218","25 June 2016","US strike","Sarak Payin, Chahar Dara, Kunduz, Afghanistan","16","7","0","0","15","0","0","0"
"AFG219","26 June 2016","US strike","Kot, Nangarhar, Afghanistan","30","30","0","0","0","0","0","0"
"AFG220","27 June 2016","US strike","Chahar Dara, Kunduz, Afghanistan","16","4","0","0","0","0","0","0"
"AFG221","28 June 2016","US strike","Hazrat Sultan, Kunduz city, Kunduz, Afghanistan","14","14","0","0","0","0","8","8"
"AFG222","29 June 2016","US strike","Gortipa, Kunduz, Afghanistan","10","10","0","0","0","0","0","0"
"AFG223","29 June 2016","US strike","Dasht e Archi, Nangarhar, Afghanistan","10","10","0","0","0","0","0","0"
"YEM234","01 July 2016","US drone strike","Gardan, Shabwa, Yemen","6","3","0","0","0","0","0","0"
"AFG226","03 July 2016","US strike","Wazir, Khogyani, Nangarhar, Afghanistan","11","11","0","0","0","0","5","3"
"AFG224","03 July 2016","US strike","Ab Band, Ghazni, Afghanistan","12","12","0","0","0","0","0","0"
"AFG225","03 July 2016","US strike","Mamond and Pekha, Achin, Nangarhar, Afghanistan","19","19","0","0","0","0","0","0"
"YEM235","04 July 2016","US drone strike","Musaina, Shabwa, Yemen","3","2","0","0","0","0","1","0"
"AFG227","05 July 2016","US strike","Kot, Nangarhar, Afghanistan","12","12","0","0","0","0","0","0"
"AFG228","08 July 2016","US strike","Achin, Nangarhar, Afghanistan","16","16","0","0","0","0","0","0"
"YEM236","08 July 2016","US drone strike","Central Yemen, Yemen","1","1","0","0","0","0","0","0"
"AFG229","09 July 2016","US strike","Mamond Dara, Achin, Nangarhar, Afghanistan","8","4","0","0","0","0","0","0"
"YEM237","10 July 2016","US drone strike","Jabul, Mareb, Yemen","0","0","0","0","0","0","4","4"
"AFG231","11 July 2016","US strike","Achin, Nangarhar, Afghanistan","4","4","0","0","0","0","0","0"
"AFG233","13 July 2016","US strike","Kharawa, Landai and Kochiano-ghnodai, Achin, Nangarhar, Afghanistan","26","26","0","0","0","0","0","0"
"AFG232","13 July 2016","US strike","Mamond Dara, Achin, Nangarhar, Afghanistan","12","12","0","0","0","0","0","0"
"AFG235","14 July 2016","US strike","Peera Khel, Khogyani, Nangarhar, Afghanistan","4","4","0","0","0","0","3","3"
"AFG234","14 July 2016","US strike","Bandar Khwar and Dah Sarak, Achin, Nangarhar, Afghanistan","12","12","0","0","0","0","2","2"
"AFG236","15 July 2016","US strike","Reg Shahidan, Maiwand, Helmand, Afghanistan","30","30","0","0","0","0","2","2"
"AFG237","16 July 2016","US strike","Spin Zaea, Nazyano, Nangarhar, Afghanistan","15","15","0","0","0","0","0","0"
"AFG238","16 July 2016","US strike","Achin, Nangarhar, Afghanistan","6","6","0","0","0","0","0","0"
"YEM238","16 July 2016","US drone strike","Al Uqlah, Shabwa, Yemen","4","2","0","0","0","0","2","0"
"AFG240","19 July 2016","US strike","Bandar, Achin, Nangarhar, Afghanistan","5","5","0","0","0","0","0","0"
"AFG241","20 July 2016","US strike","Achin, Nangarhar, Afghanistan","15","15","0","0","0","0","0","0"
"AFG242","23 July 2016","US strike","Achin, Nangarhar, Afghanistan","8","8","0","0","0","0","0","0"
"AFG245","27 July 2016","US strike","Pekhi Kali, Achin, Nangarhar, Afghanistan","6","6","0","0","0","0","3","3"
"AFG246","27 July 2016","US strike","Milwa Kand, Nazian, Nangarhar, Afghanistan","2","2","0","0","0","0","0","0"
"AFG248","01 August 2016","US strike","Zarghoon village, Nad Ali, Helmand, Afghanistan","2","2","0","0","0","0","0","0"
"YEM239","04 August 2016","US drone strike","Azzan, Shabwa, Yemen","4","2","0","0","0","0","4","2"
"AFG249","11 August 2016","US strike","Helmand, Afghanistan","0","0","0","0","0","0","0","0"
"AFG250","12 August 2016","US strike","Khoshamand, Paktika, Afghanistan","25","20","4","0","5","0","25","25"
"AFG251","13 August 2016","US strike","Pekha, Achin, Nangarhar, Afghanistan","2","2","0","0","0","0","0","0"
"AFG252","22 August 2016","US strike","Kot, Nangarhar, Afghanistan","4","4","0","0","0","0","0","0"
"YEM240","24 August 2016","US drone strike","Shabwa, Yemen","5","4","0","0","0","0","0","0"
"AFG254","25 August 2016","US strike","Nad Ali, Helmand, Afghanistan","32","24","0","0","8","0","0","0"
"AFG255","29 August 2016","US strike","Jani Khil, Paktia, Afghanistan","120","8","0","0","0","0","0","0"
"YEM241","30 August 2016","US air or drone strike","Shabwa, Yemen","3","3","0","0","0","0","0","0"
"SOM041","30 August 2016","Air operation - drone or airstrike","Near Gobanale, Somalia","2","2","0","0","0","0","0","0"
"YEM242","04 September 2016","US air or drone strike","Shabwa, Yemen","9","6","0","0","0","0","0","0"
"SOM042","05 September 2016","Air operation - drone or airstrike","Tortoroow, Somalia","4","4","0","0","0","0","0","0"
"AFG261","10 September 2016","US strike","Qarya e Surkh, Khak e Safid, Farah, Afghanistan","4","4","0","0","0","0","0","0"
"YEM243","13 September 2016","US drone strike","Radaa area, Bayda, Yemen","5","5","0","0","0","0","0","0"
"YEM244","20 September 2016","US drone or air strike","Wadi Abida, Marib, Yemen","2","2","0","0","0","0","0","0"
"YEM245","22 September 2016","US air or drone strike","Sawmaa district, Bayda, Yemen","3","2","0","0","0","0","0","0"
"YEM246","23 September 2016","US drone strike","Mareb, Yemen","5","3","0","0","0","0","0","0"
"SOM043","26 September 2016","Air operation - drone or airstrike","Caba, near Kismayo, Somalia","4","4","0","0","0","0","0","0"
"AFG269","28 September 2016","US strike","Achin, Nangarhar, Afghanistan","21","18","0","0","15","15","27","13"
"SOM044","28 September 2016","Air operation - drone or airstrike","Galcayo, Galmudug, Somalia","22","10","0","0","2","0","16","3"
"YEM247","29 September 2016","US air or drone strike","Bayda, Yemen","2","2","0","0","0","0","0","0"
"AFG272","03 October 2016","US air operation with use of drone, F16 jets and Apache helicopter","Nawa-i-Barakzayi, Helmand, Afghanistan","12","12","0","0","0","0","0","0"
"AFG273","04 October 2016","US strike","Abdul Khel, Achin, Nangarhar, Afghanistan","13","13","0","0","0","0","2","2"
"YEM248","06 October 2016","US air or drone strike","Shabwah, Yemen","2","2","0","0","0","0","0","0"
"YEM249","18 October 2016","US air or drone strike","Shabwah, Yemen","8","3","0","0","0","0","2","2"
"AFG276","19 October 2016","US strike","Seyagerd, Parwan, Afghanistan","8","8","0","0","0","0","0","0"
"YEM250","21 October 2016","US air or drone strike","Marib, Yemen","5","5","0","0","0","0","0","0"
"AFG277","22 October 2016","US strike","Koz-Pachir village, Pachiragam, Nangarhar, Afghanistan","5","5","0","0","0","0","0","0"
"AFG278","23 October 2016","US strike","Kunduz, Afghanistan","3","3","0","0","0","0","0","0"
"AFG280","28 October 2016","US strike","Aligal village, Ghaziabad, Kunar, Afghanistan","5","5","0","0","0","0","0","0"
"AFG285","04 November 2016","US strike","Diwal-i-Surkh, Khak e Safid, Farah, Afghanistan","5","5","0","0","0","0","0","0"
"AFG286","09 November 2016","US strike","Mamandara area, Achin, Nangarhar, Afghanistan","14","11","0","0","0","0","0","0"
"AFG288","12 November 2016","US strike","Lataband area, Achin, Nangarhar, Afghanistan","13","13","0","0","0","0","0","0"
"AFG289","18 November 2016","US strike","Lagharjoi area, Kot, Nangarhar, Afghanistan","7","7","0","0","0","0","0","0"
"AFG290","19 November 2016","US strike","Shah Karez, Zumat, Paktia, Afghanistan","1","1","0","0","0","0","2","2"
"AFG291","20 November 2016","US strike","Mamandari, Achin, Nangarhar, Afghanistan","2","2","0","0","0","0","0","0"
"YEM251","21 November 2016","US air or drone strike","Bayda, Yemen","1","1","0","0","0","0","0","0"
"YEM252","24 November 2016","US air or drone strike","Sawmaah, Bayda, Yemen","2","2","0","0","0","0","0","0"
"AFG292","27 November 2016","US strike","Gorgori, Haska Mena, Nangarhar, Afghanistan","7","7","0","0","0","0","3","3"
"YEM253","30 November 2016","US air or drone strike","Hadramout, Yemen","3","3","0","0","0","0","0","0"
"AFG293","11 December 2016","US strike","Langari, Haska Mena, Nangarhar, Afghanistan","7","7","0","0","0","0","0","0"
"YEM254","13 December 2016","US air or drone strike","Marib/Al Jawf, Yemen","4","4","0","0","0","0","0","0"
"AFG295","15 December 2016","US strike","Pekha, Achin, Nangarhar, Afghanistan","2","2","0","0","0","0","0","0"
"AFG294","15 December 2016","US strike","Kharga, Haska Mena, Nangarhar, Afghanistan","6","4","0","0","0","0","0","0"
"AFG297","24 December 2016","US strike","Bandar, Achin, Nangarhar, Afghanistan","2","2","0","0","0","0","0","0"
"AFG296","24 December 2016","US strike","Ambarkhani, Bati Kot, Nangarhar, Afghanistan","1","1","0","0","0","0","4","4"
"AFG298","27 December 2016","US strike","Langar Kandaw, Achin, Nangarhar, Afghanistan","3","3","0","0","0","0","0","0"
"AFG299","28 December 2016","US strike","Papin, Haska Mena, Nangarhar, Afghanistan","2","2","0","0","0","0","1","1"
"AFG300","28 December 2016","US strike","Gandi-Bagh, Charparhar, Nangarhar, Afghanistan","3","3","0","0","0","0","7","7"
"YEM255","29 December 2016","US air or drone strike","Sawmaah, Bayda, Yemen","2","2","0","0","0","0","0","0"
"SOM045","07 January 2017","Air operation - drone or airstrike","Gaduug, Somalia","0","0","0","0","0","0","0","0"
"YEM256","08 January 2017","US air or drone strike","Bayda, Yemen","1","1","0","0","0","0","0","0"
"AFG302","10 January 2017","US strike","Aziz Kala, Sabri, Khost, Afghanistan","4","4","0","0","0","0","0","0"
"YEM257","20 January 2017","US air or drone strike","Bayda, Yemen","1","1","0","0","0","0","0","0"
"AFG304","20 January 2017","US strike","Bandr Khor, Achin, Nangarhar, Afghanistan","6","4","0","0","0","0","0","0"
"YEM258","21 January 2017","US air or drone strike","Bayda, Yemen","6","3","0","0","0","0","0","0"
"YEM259","22 January 2017","US air or drone strike","Bayda, Yemen","3","1","0","0","0","0","0","0"
"AFG305","27 January 2017","US strike","Bandar, Achin, Nangarhar, Afghanistan","7","7","0","0","0","0","0","0"
"YEM260","28 January 2017","US air and ground operation
Special forces air assault and air support, possibly drone","Yakla, Bayda, Yemen","39","39","10","10","25","25","7","7"
"AFG306","28 January 2017","US strike","Nangarhar, Afghanistan","7","7","0","0","0","0","0","0"
"YEM261","30 January 2017","US air or drone strike","Baihan, Shabwa, Yemen","2","2","0","0","0","0","0","0"
"AFG309","01 February 2017","US strike","Achin, Nangarhar, Afghanistan","12","2","0","0","0","0","0","0"
"AFG310","02 February 2017","US strike","Khost, Afghanistan","6","5","0","0","0","0","0","0"
"AFG311","03 February 2017","US strike","Achin and Haska Mina, Nangarhar, Afghanistan","21","21","0","0","0","0","6","6"
"AFG313","06 February 2017","US strike","Char Wazi area, Haska Mena, Nangarhar, Afghanistan","2","2","0","0","0","0","3","3"
"AFG314","08 February 2017","US strike","Pekhar Khor area and Nari Oba area, Achin and Haska Mena, Nangarhar, Afghanistan","11","11","0","0","0","0","6","6"
"AFG317","19 February 2017","US strike","Nawa, Ghazni, Afghanistan","1","1","0","0","0","0","2","2"
"AFG318","20 February 2017","US strike","Bandar, Achin, Nangarhar, Afghanistan","12","12","0","0","0","0","0","0"
"AFG320","26 February 2017","US strike","Dashti Archi, Kunduz, Afghanistan","9","5","0","0","0","0","0","0"
"AFG321","27 February 2017","US strike","Sangini, Charparhar, Nangarhar, Afghanistan","2","2","0","0","0","0","3","3"
"AFG323","01 March 2017","US strike","Chaknoro, Lal Pura, Nangarhar, Afghanistan","6","6","0","0","0","0","1","1"
"YEM262","02 March 2017","US air or drone strikes","Across central Yemen, Yemen","12","2","0","0","0","0","0","0"
"T001","02 March 2017","US drone strike","Pakistan","2","2","0","0","0","0","0","0"
"YEM263","03 March 2017","US air or drone strikes","Yemen, Yemen","8","1","0","0","0","0","0","0"
"YEM264","04 March 2017","US air or drone strike","Ahwar, Abyan, Yemen","2","2","0","0","0","0","0","0"
"YEM265","06 March 2017","US air or drone strikes","Multiple provinces, Yemen","11","7","2","0","2","0","0","0"
"AFG325","13 March 2017","US strike","Raasni, Gilan, Ghazni, Afghanistan","3","3","0","0","0","0","0","0"
"AFG327","18 March 2017","US strike","Paktika, Afghanistan","2","2","0","0","0","0","0","0"
"AFG329","19 March 2017","US strike","Paktika, Afghanistan","4","4","0","0","0","0","0","0"
"YEM266","31 March 2017","US air or drone strikes","Yemen","0","0","0","0","0","0","0","0"
"YEM267","02 April 2017","US air or drone strikes","Shabwah, Yemen","0","0","0","0","0","0","0","0"
"AFG331","09 April 2017","US strike","Narkh, Maidan Wardak, Afghanistan","6","6","0","0","0","0","0","0"
"AFG333","15 April 2017","US strike","Achin, Nangarhar, Afghanistan","2","0","0","0","0","0","0","0"
"YEM268","18 April 2017","US air or drone strike","Marib, Yemen","4","3","0","0","0","0","0","0"
"YEM269","23 April 2017","US air or drone strike","al Said, Shabwah, Yemen","8","3","0","0","8","0","0","0"
"YEM270","24 April 2017","US air or drone strike","Yemen","0","0","0","0","0","0","0","0"
"AFG335","25 April 2017","US strike","Pangram area, Charkh district, Logar, Afghanistan","2","2","0","0","0","0","5","5"
"T002","26 April 2017","US drone strike","Zuwai, Pakistan","11","7","0","0","3","0","0","0"
"AFG337","27 April 2017","US strike","Maidan Wardak, Afghanistan","1","1","0","0","0","0","0","0"
"YEM271","29 April 2017","US air or drone strike","Marib, Yemen","5","4","0","0","0","0","0","0"
"YEM272","29 April 2017","US air or drone strike","Shabwah, Yemen","3","3","0","0","0","0","0","0"
"AFG340","05 May 2017","US strike","Nangarhar, Afghanistan","8","8","0","0","0","0","0","0"
"AFG341","06 May 2017","US strike","Maidan Shahr, Maidan Wardak, Afghanistan","6","5","0","0","0","0","6","6"
"YEM273","23 May 2017","US air and ground operation
Special forces raid with air strikes, possibly drone","Al Sirim area, Marib, Yemen","12","7","1","0","5","5","6","5"
"T003","24 May 2017","US drone strike","Pakistan","3","2","0","0","0","0","0","0"
"AFG345","26 May 2017","US strike","Chardara, Kunduz, Afghanistan","13","4","0","0","0","0","0","0"
"AFG346","29 May 2017","US strike","Spina Zhai, Nazian, Nangarhar, Afghanistan","4","3","0","0","0","0","0","0"
"AFG347","30 May 2017","US strike","Mullah Qali area, Dasht e Archi, Kunduz, Afghanistan","7","7","0","0","0","0","0","0"
"SOM047","11 June 2017","Air operation - drone or airstrike","Sakow, Middle Juba region, Somalia","8","8","0","0","0","0","0","0"
"T004","13 June 2017","US drone strike","Hangu district, Pakistan","3","1","0","0","0","0","3","0"
"YEM274","16 June 2017","US air or drone strike","Al Naqba, Shabwah, Yemen","3","2","0","0","0","0","0","0"
